open_time,open,high,low,close,volume,rsi,ema50,macd,macd_signal,macd_hist
2024-06-14 04:36:00,66768.01,66774.56,66768.0,66774.56,6.86214,47.396200326068524,66779.65679831435,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:37:00,66774.56,66774.56,66770.0,66770.01,3.18411,46.037286282443915,66779.2784924981,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:38:00,66770.01,66770.01,66745.03,66745.04,4.393,39.36663046660027,66777.93580651778,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:39:00,66745.04,66759.6,66745.03,66750.01,10.818,41.19308858291432,66776.84067685042,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:40:00,66750.0,66750.01,66745.0,66745.01,5.20215,39.89120117459612,66775.59241501315,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:41:00,66745.0,66745.01,66736.0,66736.01,3.01816,37.588381729690106,66774.040163444,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:42:00,66736.0,66736.01,66722.81,66722.82,6.77747,34.449647615580204,66772.03152958346,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:43:00,66722.82,66733.76,66722.82,66733.76,2.17539,38.99944342495969,66770.53068528607,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:44:00,66733.76,66733.76,66727.04,66727.05,2.1546,37.289832856307285,66768.82556037289,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:45:00,66727.05,66745.0,66727.04,66727.05,6.81755,37.289832856307285,66767.18730310336,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:46:00,66727.04,66727.04,66717.0,66717.01,2.31244,34.653690628087865,66765.21956572676,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:47:00,66717.01,66734.29,66717.01,66734.29,4.23488,42.22410716287759,66764.00664158062,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:48:00,66734.28,66734.29,66728.0,66728.01,4.41078,40.3926303076006,66762.59500857745,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:49:00,66728.01,66728.01,66728.0,66728.01,0.52887,40.3926303076006,66761.23873373128,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:50:00,66728.0,66759.99,66728.0,66756.02,6.61328,51.31586468590869,66761.03407750653,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:51:00,66756.02,66765.0,66756.01,66756.03,12.12962,51.319294572272184,66760.83783917293,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:52:00,66756.03,66756.04,66729.32,66729.33,7.53991,42.674467234444975,66759.60223763675,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:53:00,66729.33,66729.33,66729.32,66729.32,4.56122,42.67156797107419,66758.4146989059,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:54:00,66729.33,66729.33,66729.32,66729.33,1.34302,42.67576210731486,66757.27412247822,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:55:00,66729.33,66739.99,66729.32,66739.99,2.83488,47.11724912263647,66756.59631375359,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:56:00,66739.99,66739.99,66730.56,66730.57,2.19645,43.88167269740424,66755.57567399854,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:57:00,66730.56,66730.57,66730.2,66730.21,2.08719,43.758002371733355,66754.58094168486,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:58:00,66730.21,66730.21,66730.2,66730.2,1.58311,43.75431356936082,66753.62482632467,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 04:59:00,66730.2,66730.21,66717.38,66717.39,3.65807,39.19600690620735,66752.20385274332,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:00:00,66717.38,66765.07,66717.38,66765.07,15.96994,57.10761738522263,66752.7084075377,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:01:00,66765.07,66765.07,66729.55,66729.56,5.96373,46.1936241450936,66751.80062684996,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:02:00,66729.56,66729.56,66717.33,66717.34,3.39503,43.13829612034265,66750.4492297186,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:03:00,66717.33,66717.34,66707.76,66707.78,16.33632,40.86131457141653,66748.77592659238,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:04:00,66707.78,66780.0,66707.78,66774.33,21.29909,57.6280863666697,66749.77804711818,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:05:00,66774.33,66792.39,66774.32,66792.39,10.70576,60.870279641574285,66751.44910409393,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:06:00,66792.39,66805.45,66784.01,66790.01,10.79922,60.216367695171435,66752.96129609025,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:07:00,66790.01,66795.99,66780.01,66780.02,3.06959,57.42762745374891,66754.02242173377,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:08:00,66780.01,66787.67,66780.01,66787.67,6.5496,58.99374462388417,66755.34193460696,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:09:00,66787.67,66804.85,66787.66,66804.85,3.51028,62.34399346332267,66757.28342736747,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:10:00,66804.85,66804.85,66803.68,66803.69,7.77536,61.97580629229526,66759.1032929609,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:11:00,66803.68,66803.69,66801.14,66801.15,2.86449,61.12456974741055,66760.75218343303,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:12:00,66801.14,66801.15,66781.14,66781.15,5.87785,54.7481291232299,66761.5520978082,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:13:00,66781.15,66781.15,66781.14,66781.15,1.64386,54.74812912322991,66762.3206429922,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:14:00,66781.14,66781.15,66765.0,66765.01,3.66239,49.87826601468841,66762.4261079729,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:15:00,66765.0,66772.09,66765.0,66772.09,10.70092,51.899477132887064,66762.80508413083,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:16:00,66772.09,66783.99,66772.08,66783.99,11.11393,55.17165346389479,66763.6358651453,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:17:00,66783.99,66783.99,66783.98,66783.98,2.21961,55.16825710256287,66764.4336743553,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:18:00,66783.98,66783.99,66783.98,66783.99,0.72264,55.171229038227025,66765.20058908647,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:19:00,66783.98,66801.14,66783.98,66801.14,11.37954,60.06111292633401,66766.60997774974,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:20:00,66801.14,66801.14,66780.49,66780.5,8.1128,52.62172737820733,66767.15468450467,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:21:00,66780.49,66796.94,66777.98,66796.94,26.70012,57.17210296663658,66768.32273609273,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:22:00,66796.94,66806.75,66796.93,66806.75,3.56068,59.66174553534099,66769.8296876185,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:23:00,66806.75,66812.17,66806.74,66812.17,5.14796,61.01031985750873,66771.49009202562,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:24:00,66812.17,66820.78,66812.16,66813.08,7.59546,61.24458998285336,66773.12106880893,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:25:00,66813.08,66825.49,66813.07,66825.49,3.78919,64.38718630429894,66775.17475238505,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:26:00,66825.48,66825.5,66825.48,66825.5,3.69754,64.38969209557183,66777.14829150721,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:27:00,66825.49,66825.5,66820.87,66820.88,2.40085,62.2117918977766,66778.86326046771,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:28:00,66820.87,66830.0,66820.87,66830.0,6.82027,64.74668219068658,66780.86862280231,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:29:00,66829.99,66830.0,66829.99,66830.0,0.82749,64.74668219068658,66782.79534347674,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:30:00,66830.0,66886.4,66820.77,66870.0,69.87482,73.71552937477334,66786.21513392864,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:31:00,66870.0,66906.72,66852.02,66902.81,21.59694,78.53861793795343,66790.7874816177,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-06-14 05:32:00,66902.81,66914.26,66890.0,66908.01,10.38049,79.19035507502123,66795.3844431229,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
